,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Season,Seasonnum
16730,Nickeil Alexander-Walker,SG,21,NOP,47,591,8.9,.473,.500,.139,1.6,13.5,7.5,21.1,1.3,1.1,16.1,23.3,-0.7,0.4,-0.2,-0.020,-3.2,-1.4,-4.6,-0.4,2019-2020,1.0
16731,Nickeil Alexander-Walker,SG,22,NOP,46,1007,12.5,.522,.478,.144,1.4,14.1,7.8,14.7,2.2,2.1,12.4,23.2,-0.3,1.0,0.7,.035,-1.4,0.1,-1.3,0.2,2020-2021,2.0
16732,Nickeil Alexander-Walker,SG,23,TOT,65,1466,10.5,.475,.497,.160,2.7,11.5,7.1,16.1,1.5,1.5,11.3,24.1,-1.1,1.1,0.1,.003,-1.8,-1.1,-2.9,-0.3,2021-2022,3.0
16733,Nico Mannion,PG,19,GSW,30,364,9.3,.487,.526,.246,1.8,11.5,6.7,25.6,2.1,0.2,19.7,18.5,-0.2,0.4,0.2,.029,-3.4,-0.5,-3.9,-0.2,2020-2021,1.0
16734,Nicolas Batum,SF,20,POR,79,1454,12.9,.555,.465,.144,7.0,11.8,9.4,7.8,1.9,2.2,11.5,14.0,2.1,1.6,3.7,.123,0.4,1.0,1.4,1.2,2008-2009,1.0
16735,Nicolas Batum,SF,21,POR,37,918,17.3,.646,.493,.190,4.3,14.8,9.5,8.0,1.4,2.2,8.5,16.4,2.4,1.1,3.5,.181,2.8,1.1,3.9,1.4,2009-2010,2.0
16736,Nicolas Batum,SF,22,POR,80,2522,14.8,.563,.424,.203,5.1,12.8,8.8,8.1,1.5,1.6,8.6,17.8,4.4,2.3,6.6,.126,1.1,0.0,1.1,2.0,2010-2011,3.0
16737,Nicolas Batum,SF,23,POR,59,1791,17.3,.575,.427,.248,5.2,12.6,8.8,7.9,1.7,2.6,11.2,20.5,3.3,1.4,4.8,.127,2.6,0.0,2.5,2.0,2011-2012,4.0
16738,Nicolas Batum,SF,24,POR,73,2807,15.7,.566,.533,.252,4.0,13.2,8.5,20.3,1.7,2.2,17.0,18.2,3.8,1.9,5.8,.099,2.3,0.5,2.8,3.4,2012-2013,5.0
16739,Nicolas Batum,SF,25,POR,82,2956,15.8,.589,.491,.248,4.3,17.8,11.1,20.9,1.3,1.3,18.6,16.5,4.8,3.1,7.9,.128,2.2,1.2,3.4,4.0,2013-2014,6.0
16740,Nicolas Batum,SF,26,POR,71,2380,13.1,.516,.515,.163,2.8,15.6,9.4,20.5,1.7,1.2,17.0,14.6,2.0,3.2,5.2,.105,0.3,1.8,2.1,2.4,2014-2015,7.0
16741,Nicolas Batum,SF,27,CHO,70,2448,15.6,.546,.457,.220,2.4,16.8,9.6,26.9,1.3,1.4,17.6,21.4,2.0,2.9,5.0,.097,1.1,0.1,1.2,2.0,2015-2016,8.0
